"class","user","day","time_of_day","client","true_time","user_estimate"
"long","Yvette","Tuesday","Morning","Tyrell",93,89
"long","Yvette","Thursday","Morning","Cyberdyne Systems",71,109
"long","Tom","Thursday","Lunchtime","Cyberdyne Systems",100,111
"long","Jim","Monday","Lunchtime","Tyrell",110,75
"short","Cindy","Tuesday","Morning","Weyland-Yutani",11,14
"short","Yvette","Thursday","Afternoon","Tyrell",5,7
"short","Cindy","Friday","Morning","Mooby's Family Restaurants",11,10
"short","Jim","Wednesday","Afternoon","Mooby's Family Restaurants",7,6
"long","Yvette","Friday","Morning","OCP Inc.",82,94
"short","Cindy","Tuesday","Afternoon","Cyberdyne Systems",8,3
"short","Jim","Friday","Morning","Mooby's Family Restaurants",13,7
"short","Yvette","Thursday","Morning","Mooby's Family Restaurants",7,9
"short","Evelyn","Thursday","Lunchtime","Weyland-Yutani",11,8
"short","Yvette","Monday","Lunchtime","OCP Inc.",11,1
"short","Evelyn","Tuesday","Morning","Mooby's Family Restaurants",10,2
"short","Jim","Thursday","Lunchtime","Tyrell",4,11
"long","Tom","Thursday","Morning","Tyrell",102,116
"short","Yvette","Thursday","Lunchtime","Tyrell",11,5
"short","Cindy","Monday","Morning","Weyland-Yutani",13,4
"short","Jim","Wednesday","Morning","Mooby's Family Restaurants",14,9
"short","Cindy","Tuesday","Afternoon","Tyrell",5,5
"short","Evelyn","Thursday","Afternoon","Cyberdyne Systems",7,9
"short","Yvette","Monday","Morning","OCP Inc.",5,82
"short","Evelyn","Friday","Lunchtime","Cyberdyne Systems",11,9
"long","Cindy","Friday","Morning","OCP Inc.",94,78
"short","Evelyn","Tuesday","Afternoon","Weyland-Yutani",11,5
"short","Jim","Thursday","Morning","Mooby's Family Restaurants",9,11
"short","Tom","Tuesday","Lunchtime","Weyland-Yutani",14,1
"short","Jim","Monday","Morning","Cyberdyne Systems",10,8
"short","Cindy","Thursday","Morning","Cyberdyne Systems",1,1
"short","Jim","Monday","Afternoon","Weyland-Yutani",1,8
"short","Yvette","Tuesday","Morning","Tyrell",9,9
"short","Jim","Monday","Lunchtime","Cyberdyne Systems",5,13
"short","Tom","Wednesday","Lunchtime","Tyrell",9,11
"short","Jim","Monday","Afternoon","Weyland-Yutani",6,12
"short","Tom","Wednesday","Morning","Tyrell",8,8
"long","Evelyn","Thursday","Morning","Tyrell",91,89
"long","Cindy","Wednesday","Lunchtime","Cyberdyne Systems",96,111
"short","Jim","Tuesday","Morning","OCP Inc.",14,8
"short","Cindy","Friday","Afternoon","Weyland-Yutani",6,3
"short","Jim","Monday","Morning","Cyberdyne Systems",3,15
"short","Jim","Monday","Morning","Weyland-Yutani",2,2
"short","Cindy","Thursday","Lunchtime","Weyland-Yutani",2,6
"short","Evelyn","Friday","Morning","Weyland-Yutani",1,7
"short","Yvette","Thursday","Afternoon","OCP Inc.",12,10
"short","Tom","Thursday","Lunchtime","OCP Inc.",11,8
"short","Tom","Wednesday","Lunchtime","Cyberdyne Systems",5,5
"short","Cindy","Thursday","Afternoon","Tyrell",2,3
"short","Jim","Tuesday","Morning","Cyberdyne Systems",14,14
"short","Cindy","Friday","Morning","Tyrell",13,14
"short","Jim","Friday","Afternoon","Weyland-Yutani",13,9
"short","Jim","Monday","Lunchtime","Weyland-Yutani",12,7
"short","Tom","Wednesday","Morning","Cyberdyne Systems",8,11
"long","Jim","Tuesday","Lunchtime","Weyland-Yutani",112,102
"long","Yvette","Wednesday","Afternoon","Tyrell",89,91
"short","Yvette","Tuesday","Morning","OCP Inc.",5,7
"short","Tom","Tuesday","Morning","Mooby's Family Restaurants",13,4
"short","Yvette","Wednesday","Lunchtime","Tyrell",3,12
"short","Jim","Wednesday","Lunchtime","Cyberdyne Systems",7,8
"short","Cindy","Wednesday","Morning","Weyland-Yutani",1,7
"short","Cindy","Wednesday","Morning","Tyrell",5,4
"short","Tom","Wednesday","Morning","OCP Inc.",5,1
"short","Cindy","Monday","Afternoon","Tyrell",16,15
"short","Tom","Thursday","Afternoon","Mooby's Family Restaurants",3,4
"short","Yvette","Friday","Morning","Tyrell",3,8
"short","Tom","Monday","Morning","OCP Inc.",8,7
"short","Jim","Tuesday","Lunchtime","OCP Inc.",9,1
"long","Jim","Friday","Afternoon","Weyland-Yutani",105,50
"short","Jim","Friday","Morning","OCP Inc.",7,10
"short","Yvette","Wednesday","Morning","Cyberdyne Systems",3,11
"short","Tom","Monday","Lunchtime","Mooby's Family Restaurants",6,17
"long","Evelyn","Monday","Morning","Tyrell",76,9
"short","Yvette","Thursday","Afternoon","OCP Inc.",11,6
"short","Cindy","Tuesday","Afternoon","Tyrell",7,5
"short","Evelyn","Thursday","Lunchtime","Cyberdyne Systems",4,14
"short","Jim","Monday","Lunchtime","Mooby's Family Restaurants",12,2
"short","Evelyn","Tuesday","Afternoon","Cyberdyne Systems",8,96
"long","Jim","Wednesday","Morning","OCP Inc.",121,108
"short","Yvette","Tuesday","Afternoon","Mooby's Family Restaurants",8,4
"short","Jim","Monday","Morning","Mooby's Family Restaurants",9,5
